Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,41.970001,44.790001,40.520000,40.970001,40.970001,13311300
2014-08-04,41.439999,41.799999,38.349998,38.529999,38.529999,6683600
2014-08-05,38.639999,40.139999,38.349998,38.869999,38.869999,4010500
2014-08-06,39.360001,40.130001,38.529999,38.720001,38.720001,2257700
2014-08-07,39.849998,39.849998,38.270000,38.700001,38.700001,2043300
2014-08-08,39.160000,39.160000,37.240002,37.650002,37.650002,2423600
2014-08-11,38.639999,38.770000,38.099998,38.200001,38.200001,1562000
2014-08-12,38.650002,38.692001,37.700001,38.040001,38.040001,1317700
2014-08-13,38.490002,39.040001,38.009998,38.189999,38.189999,2162300
2014-08-14,38.250000,39.820000,38.049999,39.490002,39.490002,2892000
2014-08-15,39.509998,40.250000,38.900002,39.790001,39.790001,2821800
2014-08-18,40.500000,42.599998,40.040001,41.849998,41.849998,3901200
2014-08-19,42.340000,43.500000,42.049999,43.360001,43.360001,4056800
2014-08-20,42.904999,44.599998,42.759998,43.889999,43.889999,3426300
2014-08-21,44.599998,44.860001,43.026001,43.169998,43.169998,2688700
2014-08-22,43.000000,43.830002,42.700001,43.290001,43.290001,1683000
2014-08-25,43.849998,44.349998,43.300999,43.849998,43.849998,1847800
2014-08-26,44.799999,45.799999,44.570000,45.290001,45.290001,3774100
2014-08-27,45.869999,46.000000,45.290001,45.500000,45.500000,1906300
2014-08-28,45.500000,49.860001,44.630001,48.900002,48.900002,10589100
2014-08-29,49.470001,52.130001,49.450001,51.799999,51.799999,10254400
2014-09-02,53.000000,55.349998,52.520000,53.939999,53.939999,9075600
2014-09-03,55.950001,57.450001,55.430000,56.860001,56.860001,9221200
2014-09-04,54.299999,55.879002,52.299999,53.080002,53.080002,8197700
2014-09-05,54.250000,59.240002,53.509998,58.750000,58.750000,7628400
2014-09-08,58.150002,63.720001,57.040001,63.520000,63.520000,12161700
2014-09-09,63.470001,68.290001,63.259998,64.190002,64.190002,13437600
2014-09-10,67.110001,69.300003,64.750000,68.470001,68.470001,12362300
2014-09-11,70.644997,70.900002,66.260002,68.279999,68.279999,15041100
2014-09-12,68.739998,70.169998,67.650002,69.180000,69.180000,8370500
2014-09-15,69.550003,71.419998,66.169998,67.199997,67.199997,10120900
2014-09-16,65.400002,66.690002,63.419998,65.230003,65.230003,8574000
2014-09-17,67.000000,68.209999,66.309998,67.220001,67.220001,5890600
2014-09-18,68.099998,68.669998,66.010002,66.330002,66.330002,5871800
2014-09-19,66.050003,67.300003,64.099998,67.199997,67.199997,5928500
2014-09-22,67.050003,68.900002,66.500000,68.269997,68.269997,4185500
2014-09-23,68.849998,73.419998,68.339996,72.879997,72.879997,8066500
2014-09-24,74.500000,78.839996,73.849998,78.459999,78.459999,12110400
2014-09-25,81.500000,81.639999,76.208000,81.309998,81.309998,14393300
2014-09-26,79.000000,82.400002,77.510002,82.099998,82.099998,13003700
2014-09-29,81.989998,91.769997,80.000000,90.940002,90.940002,26687400
2014-09-30,94.775002,96.449997,88.529999,93.699997,93.699997,31756100
2014-10-01,92.309998,93.959999,88.870003,91.800003,91.800003,12921800
2014-10-02,87.419998,88.949997,79.129997,85.459999,85.459999,27451200
2014-10-03,88.500000,89.800003,86.529999,86.970001,86.970001,12098400
2014-10-06,89.480003,94.314003,88.500000,93.790001,93.790001,13048900
2014-10-07,92.349998,98.470001,91.220001,93.849998,93.849998,20856600
2014-10-08,91.000000,92.769997,87.160004,89.930000,89.930000,13035800
2014-10-09,91.300003,92.379997,87.300003,89.180000,89.180000,8016500
2014-10-10,87.910004,89.889999,83.570000,85.050003,85.050003,7150000
2014-10-13,82.349998,83.400002,73.279999,76.669998,76.669998,13263500
2014-10-14,78.599998,80.931000,74.440002,75.029999,75.029999,6766800
2014-10-15,71.029999,74.849998,68.339996,72.870003,72.870003,8720400
2014-10-16,69.099998,74.879997,68.599998,72.690002,72.690002,6142800
2014-10-17,75.800003,76.750000,72.790001,74.629997,74.629997,4706900
2014-10-20,75.029999,77.589996,74.801003,76.000000,76.000000,3641600
2014-10-21,77.959999,82.790001,77.110001,80.919998,80.919998,7325200
2014-10-22,84.000000,84.949997,79.680000,80.089996,80.089996,8232300
2014-10-23,82.419998,82.809998,77.879997,79.150002,79.150002,7535900
2014-10-24,75.629997,76.500000,70.290001,71.910004,71.910004,12231200
2014-10-27,66.959999,69.849998,64.750000,64.910004,64.910004,9277500
2014-10-28,66.599998,70.900002,66.599998,69.300003,69.300003,7810700
2014-10-29,69.300003,69.300003,66.550003,67.889999,67.889999,3096400
2014-10-30,68.790001,69.739998,64.140999,68.250000,68.250000,10835400
2014-10-31,80.699997,81.129997,76.000000,77.099998,77.099998,17868900
